block_date,output_count,total_btc,avg_btc,unique_addresses
2026-01-11,344168,261307.12688163074,0.75924294786741,209211
2026-01-10,1.117468e+06,512914.0259217467,0.45899661191349256,451551
2026-01-09,827553,746111.0372682011,0.901587012877968,512936
2026-01-08,813340,652362.4516714376,0.8020784071500696,476584
2026-01-07,974044,802197.7068655767,0.8235744040983536,485086
2026-01-06,1.016315e+06,758263.2373219252,0.7460907664670159,517887
2026-01-05,981354,847703.8857779248,0.8638104962917813,519988
2026-01-04,1.087189e+06,658470.0369992473,0.605662894859355,460280
2026-01-03,1.151133e+06,610858.5306731837,0.5306585170203475,473967
2026-01-02,1.1103e+06,814803.9986425161,0.7338593160790021,518433
2026-01-01,1.093123e+06,604552.2074688054,0.5530504869706386,441381
2025-12-31,1.026654e+06,974765.5469618374,0.949458675427006,547271
2025-12-30,932076,858830.5541153905,0.9214168738551262,539846
2025-12-29,1.257368e+06,1.0361688939732221e+06,0.8240776717502133,516337
2025-12-28,1.229407e+06,513980.992971365,0.41807228441953315,435883
2025-12-27,1.096473e+06,461134.1801907676,0.420561363746091,457335
2025-12-26,1.178094e+06,778018.1002547522,0.66040409360777,477920
2025-12-25,929925,480561.12195618753,0.5167740645279861,431618
2025-12-24,1.017763e+06,765373.1877687717,0.7520151427874384,513916
2025-12-23,1.01405e+06,799108.3672967551,0.788036455102564,520978
