address,output_count,total_btc_received,avg_btc_per_output,first_output,latest_output
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,332,2.98509993906762e+06,8991.264876709698,2025-12-12 16:09:54.000 UTC,2026-01-11 12:46:29.000 UTC
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,1968,1.44340828348228e+06,733.4391684361179,2025-12-12 14:21:39.000 UTC,2026-01-11 12:46:29.000 UTC
bc1prcs82tvrz70jk8u79uekwdfjhd0qhs2mva6e526arycu7fu25zsqhyztuy,289,1.2789721972978401e+06,4425.50933321052,2025-12-12 15:29:33.000 UTC,2026-01-11 01:27:33.000 UTC
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf,42432,572389.2464397704,13.489565574089612,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,27830,535889.4936339003,19.2558208276644,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
bc1q4vxcxw7mpg9dcryqu0kav8awrn7qk5e6wgs3hg,8371,336184.03470670996,40.16055844065344,2025-12-12 14:21:39.000 UTC,2026-01-11 12:58:08.000 UTC
bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,34944,312181.60006313014,8.933768316824924,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,1999,308306.2330150301,154.23023162332672,2025-12-12 14:30:09.000 UTC,2026-01-11 13:04:18.000 UTC
bc1qamgjuxaywqls56h7rg7afga3m6rgqwfkew688k,12438,276454.45345937024,22.226600213810116,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
bc1qwelntg7tpxwgmh7gea0kycclx87mksnvhaadgf,8144,263638.82424145006,32.372154253616166,2025-12-12 14:21:39.000 UTC,2026-01-11 13:09:23.000 UTC
bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6,147,240333.12156608992,1634.9191943271423,2025-12-12 17:03:15.000 UTC,2026-01-11 11:40:18.000 UTC
bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d,7914,174488.1826239901,22.04803924993557,2025-12-12 14:21:39.000 UTC,2026-01-11 13:09:23.000 UTC
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,112,158087.54944231996,1411.495977163571,2025-12-12 23:06:17.000 UTC,2026-01-10 12:08:03.000 UTC
bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx,26842,140732.87517597008,5.2430100281637015,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
bc1qwj4fajtya5dhtm8te2c2kdyd9cwq0gt8645zde,3099,140299.78618250004,45.27259960713135,2025-12-12 14:21:39.000 UTC,2026-01-11 13:12:43.000 UTC
bc1qfpeps3wcmzk422hvm5jeq5lelnqlzznjwyfy69,15192,130018.09634486995,8.558326510325825,2025-12-12 14:21:39.000 UTC,2026-01-11 13:09:23.000 UTC
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,12,98050.00049928,8170.83337494,2025-12-20 18:22:03.000 UTC,2026-01-09 14:10:59.000 UTC
bc1qx5py8d59hwvwu8qhk2wt6jqg805rur3t5x76v4,968,95465.00083042998,98.62086862647726,2025-12-12 14:21:39.000 UTC,2026-01-11 13:09:23.000 UTC
1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p,1876,91057.64501419003,48.53819030607144,2025-12-12 14:30:09.000 UTC,2026-01-11 13:04:18.000 UTC
bc1pt52j5s22a4ajyq58qj5sk3v6h6mnt7gdzjhfrl7gyw37zawskq2sd0ph0y,1651,84487.29049870999,51.173404299642634,2026-01-04 18:41:27.000 UTC,2026-01-07 19:58:01.000 UTC
