blockchain,trade_count,total_volume_usd,unique_dex_projects,unique_pairs,first_trade,latest_trade
bnb,4.5287773e+07,5.000392023157512e+10,22,49032,2026-01-03 13:24:11.000 UTC,2026-01-10 12:13:58.000 UTC
ethereum,2.722543e+06,1.2512877069762604e+10,28,14526,2026-01-03 13:24:11.000 UTC,2026-01-10 12:16:59.000 UTC
base,1.6364522e+07,5.98092067925785e+09,40,97845,2026-01-03 13:24:11.000 UTC,2026-01-10 11:54:45.000 UTC
arbitrum,3.65002e+06,3.6154993132130337e+09,34,1728,2026-01-03 13:24:11.000 UTC,2026-01-10 12:16:10.000 UTC
celo,528656,1.7611373168787491e+09,7,250,2026-01-03 13:24:12.000 UTC,2026-01-10 11:50:39.000 UTC
avalanche_c,1.157041e+06,1.3116760195237257e+09,14,2075,2026-01-03 13:24:15.000 UTC,2026-01-10 12:16:10.000 UTC
polygon,6.117798e+06,6.794180593836992e+08,16,7079,2026-01-03 13:24:11.000 UTC,2026-01-10 12:10:16.000 UTC
hyperevm,783799,5.552196707491091e+08,3,238,2026-01-03 13:24:11.000 UTC,2026-01-10 11:40:52.000 UTC
monad,1.406079e+06,5.367961166547801e+08,5,599,2026-01-03 13:24:12.000 UTC,2026-01-10 12:17:13.000 UTC
unichain,1.358145e+06,1.7106819052866748e+08,5,148,2026-01-03 13:24:17.000 UTC,2026-01-10 12:05:42.000 UTC
optimism,2.726454e+06,1.443178567477325e+08,21,1019,2026-01-03 13:24:11.000 UTC,2026-01-10 12:21:13.000 UTC
plasma,78225,1.4249518653766298e+08,2,31,2026-01-03 13:24:19.000 UTC,2026-01-10 12:15:42.000 UTC
katana,120646,1.0826150557945225e+08,2,43,2026-01-03 13:24:14.000 UTC,2026-01-10 12:12:30.000 UTC
sei,371038,6.2594357628811404e+07,8,190,2026-01-03 13:24:13.000 UTC,2026-01-10 12:11:35.000 UTC
linea,175287,5.9763898272034e+07,9,127,2026-01-03 13:24:26.000 UTC,2026-01-10 12:13:12.000 UTC
mantle,56892,4.476977733829874e+07,7,85,2026-01-03 13:25:20.000 UTC,2026-01-10 12:13:34.000 UTC
flare,331250,4.049358092811796e+07,3,105,2026-01-03 13:24:25.000 UTC,2026-01-10 12:05:26.000 UTC
ink,130095,3.2643488230762128e+07,4,203,2026-01-03 13:24:23.000 UTC,2026-01-10 11:41:45.000 UTC
berachain,1.644894e+06,3.1301814284444243e+07,3,204,2026-01-03 13:24:14.000 UTC,2026-01-10 12:15:42.000 UTC
gnosis,425800,2.6427559632674243e+07,7,1081,2026-01-03 13:24:20.000 UTC,2026-01-10 12:15:40.000 UTC
