project,blockchain,trade_count,total_volume_usd,avg_trade_size_usd,unique_traders
pancakeswap,bnb,3.6861145e+07,4.526639471828826e+10,1228.0246508427306,1.16281e+06
uniswap,ethereum,2.078803e+06,7.43845382076556e+09,3578.238929213379,163920
uniswap,bnb,7.091503e+06,4.558681143707559e+09,642.8370887959236,171416
aerodrome,base,3.587741e+06,2.660025525673955e+09,741.420722865434,29013
uniswap,arbitrum,1.449571e+06,2.5947456157743373e+09,1790.0093308808864,40899
mento,celo,66967,1.737763317858188e+09,25949.54705837484,1311
uniswap,base,7.827392e+06,1.6973735574716647e+09,216.8504602135251,828585
pancakeswap,base,2.652847e+06,1.4887494028646872e+09,561.1893195742865,117039
fluid,ethereum,30233,1.4431332321132343e+09,47733.70926184084,362
curve,ethereum,133730,1.2226444630941453e+09,9142.634136649558,793
ekubo,ethereum,98017,6.750287206880065e+08,6886.853512023491,31302
prjx,hyperevm,530702,5.075439494464457e+08,956.3633629540603,4407
blackhole,avalanche_c,363256,4.982192324874405e+08,1371.5375175838542,2569
fluid,arbitrum,126260,4.8452191659764487e+08,3837.493399316053,200
pharaoh_v3,avalanche_c,166541,4.628088541572218e+08,2778.948452076196,668
dodo,ethereum,28457,4.5378926375194174e+08,15946.489923461424,81
uniswap,monad,800566,4.233283417725094e+08,528.7863109006745,9740
pancakeswap,arbitrum,1.518145e+06,3.7600499972662747e+08,247.6739703563411,8709
uniswap,polygon,1.000741e+06,3.7419122714652467e+08,373.9141567563682,80152
balancer,ethereum,37559,3.540670210365484e+08,9426.95548434592,9036
