token_pair,blockchain,trade_count,total_volume_usd,avg_trade_size_usd,dex_count
USDC-USDT,ethereum,106493,3.9498192811911583e+09,37089.94282432797,19
ESIM-USDT,bnb,670538,2.8136178213059974e+09,4196.060210317682,2
BREV-USDT,bnb,106320,2.6344823454814687e+09,24778.80309896039,3
USDT-币安人生,bnb,125676,2.584724782471582e+09,20566.57422635652,3
USDT-人生K线,bnb,79846,2.5673340251213794e+09,32153.570938073033,3
USDC-WETH,base,2.910552e+06,2.340448684717763e+09,804.1253634079594,23
USDT-ZKP,bnb,380084,1.720810733642779e+09,4527.448494655863,5
The Glitch-WETH,ethereum,263,1.6509578530420232e+09,6.277406285330887e+06,1
USDT-WBNB,bnb,2.54804e+06,1.398217306763182e+09,548.7422908444066,15
MARS-WBNB,bnb,217,1.254116241252699e+09,5.779337517293544e+06,1
USDC-WETH,arbitrum,911736,1.1738695638513007e+09,1287.510380034682,25
quq-USDT,bnb,613027,1.105042733868973e+09,1802.6004301098858,2
USDT-WETH,ethereum,237481,1.0531537849113501e+09,4434.6865008625955,20
cbBTC-WETH,base,504836,1.0377140842845925e+09,2055.5469187708336,12
BNB-ESPORTS,bnb,590763,1.007988982260178e+09,1706.2493457785574,2
USDT-我踏马来了,bnb,247692,9.63142798325402e+08,3888.4695441330446,3
DN-USDT,bnb,304907,9.587542305433434e+08,3144.4152825069395,3
114514-USDT,bnb,9636,9.27354994212349e+08,96238.58387425789,1
UP-USDT,bnb,10368,9.236807089665997e+08,89089.57455310567,1
crypto winter-USDT,bnb,9448,9.227058011237655e+08,97661.49461513183,1
