block_date,trade_count,total_volume_usd,active_blockchains,active_dex_projects,unique_traders
2026-01-10,6.218547e+06,3.4122076656935873e+09,44,139,454348
2026-01-09,1.2573088e+07,9.605774717207947e+09,44,147,715107
2026-01-08,1.271021e+07,1.0512148619702e+10,45,157,681534
2026-01-07,1.2841734e+07,1.482705542688801e+10,45,157,815940
2026-01-06,1.2922536e+07,1.3703308269913826e+10,45,159,706470
2026-01-05,1.2771481e+07,1.3740712125129e+10,45,158,673654
2026-01-04,1.1681109e+07,9.206315981252165e+09,44,152,732278
2026-01-03,1.1567946e+07,8.34085448845539e+09,45,151,653051
2026-01-02,1.2204358e+07,1.0217020744206066e+10,45,157,611061
2026-01-01,1.1002883e+07,1.1900412053218561e+10,44,147,595547
2025-12-31,1.1908415e+07,1.8921282990711243e+10,44,152,656035
2025-12-30,1.1792268e+07,1.5828295747481758e+10,45,150,651533
2025-12-29,1.3065919e+07,1.8622081314810326e+10,45,154,670298
2025-12-28,1.0335295e+07,2.2331361964777447e+10,44,151,633746
2025-12-27,1.0218688e+07,1.406908092956287e+10,44,148,657098
2025-12-26,1.2112728e+07,8.228005410452072e+09,45,154,661159
2025-12-25,1.2216604e+07,8.41956924739097e+09,44,150,663775
2025-12-24,1.288677e+07,7.166270346968351e+09,44,147,685243
2025-12-23,1.3227243e+07,8.013994338488159e+09,44,154,694021
2025-12-22,1.4095985e+07,8.553423282395141e+09,45,155,770530
