block_time,blockchain,project,token_bought_symbol,token_sold_symbol,token_bought_amount,token_sold_amount,amount_usd,taker,tx_hash
2026-01-06 13:06:18.000 UTC,bnb,pancakeswap,WBNB,BBB,100000.00053637692,33006.14374649622,9.128500048963167e+07,0xbe58988979e497f3fdb0ec0f90fa3e6ddd566551,0x929abca0fcfc7413a309fb7512169172ad5eab26562adf7b227981a58522263c
2026-01-06 13:06:18.000 UTC,bnb,pancakeswap,BBB,WBNB,34720.4743199113,99999.99999999999,9.128499999999999e+07,0xbe58988979e497f3fdb0ec0f90fa3e6ddd566551,0x929abca0fcfc7413a309fb7512169172ad5eab26562adf7b227981a58522263c
2026-01-06 17:23:00.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00322073438,1.7692304208395202e+09,9.05930029177599e+07,0x4a9165bc0dda279117cf99a30894925b97b83187,0x9a688a5991e3614fe3c7882c63b63cfd82856dd971eb23ba05cf71d2e555044e
2026-01-06 17:23:00.000 UTC,bnb,pancakeswap,MARS,WBNB,1.8089495241676536e+09,99999.99999999999,9.059299999999999e+07,0xe8db96d42d3a820796e09cbe02262f5d8b55042c,0x9a688a5991e3614fe3c7882c63b63cfd82856dd971eb23ba05cf71d2e555044e
2026-01-05 17:18:54.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00320367205,1.8250076935946834e+09,9.049300289909895e+07,0x4a9165bc0dda279117cf99a30894925b97b83187,0xcd0297a0963154d2871797fd5401aca670740bbc2fae515fb244f0830a26fc5f
2026-01-05 17:18:54.000 UTC,bnb,pancakeswap,MARS,WBNB,1.865977134127027e+09,99999.99999999999,9.049299999999999e+07,0xe8db96d42d3a820796e09cbe02262f5d8b55042c,0xcd0297a0963154d2871797fd5401aca670740bbc2fae515fb244f0830a26fc5f
2026-01-07 17:28:38.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00318335564,1.7456038211574986e+09,9.00930028679806e+07,0xbe58988979e497f3fdb0ec0f90fa3e6ddd566551,0xd2ef0c34a28f0d5b6955db01de77de6a32afdf20ac755d9966f96ec91279b275
2026-01-07 17:28:38.000 UTC,bnb,pancakeswap,MARS,WBNB,1.784790695481327e+09,99999.99999999999,9.009299999999999e+07,0x3ace23c16804c2205a1871d7e75a8ab39ca77993,0xd2ef0c34a28f0d5b6955db01de77de6a32afdf20ac755d9966f96ec91279b275
2026-01-04 17:04:42.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00322132838,1.8616692654467616e+09,8.971400288998255e+07,0x4a9165bc0dda279117cf99a30894925b97b83187,0x5a42ff9255ad0f30ffa394d77bacb8156e07b86d9199a9d5a0e74e83c7fb5f96
2026-01-04 17:04:42.000 UTC,bnb,pancakeswap,MARS,WBNB,1.90346198404917e+09,99999.99999999999,8.971399999999999e+07,0xe8db96d42d3a820796e09cbe02262f5d8b55042c,0x5a42ff9255ad0f30ffa394d77bacb8156e07b86d9199a9d5a0e74e83c7fb5f96
2026-01-09 17:43:28.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00313113711,1.6861385767032735e+09,8.966100280740885e+07,0x20bc5e7d269e3b47a58ae919cf4ec756884d7861,0xe79dfaa8a6de412ccfb06be3fe5b40efb4713efeaf282638060ff90a81831d2d
2026-01-09 17:43:28.000 UTC,bnb,pancakeswap,MARS,WBNB,1.7239923117454958e+09,99999.99999999999,8.966099999999999e+07,0x3ace23c16804c2205a1871d7e75a8ab39ca77993,0xe79dfaa8a6de412ccfb06be3fe5b40efb4713efeaf282638060ff90a81831d2d
2026-01-08 17:29:45.000 UTC,bnb,pancakeswap,WBNB,MARS,100000.00314632161,1.720704805670383e+09,8.894200279840137e+07,0x20bc5e7d269e3b47a58ae919cf4ec756884d7861,0x7c9593bc4bd9cbc9938840832309ae7ad5234fe25d01e69a347afae8b7ebcdc2
