project,version,blockchain,trade_count,total_volume_usd,unique_pairs
pancakeswap,2,bnb,1.2699161e+07,3.720327461984311e+10,36939
pancakeswap,3,bnb,1.425314e+07,4.536604100977965e+09,3919
pancakeswap,infinity_cl,bnb,9.865953e+06,3.517045211755164e+09,689
uniswap,4,bnb,4.15973e+06,2.92976165839462e+09,2230
uniswap,3,ethereum,828331,2.661093384636208e+09,2790
uniswap,2,ethereum,773444,2.5783507403088527e+09,8148
aerodrome,slipstream,base,3.046352e+06,2.576523784033794e+09,649
uniswap,4,ethereum,472987,2.1982196671963964e+09,1997
uniswap,3,arbitrum,1.139645e+06,2.0454006445652664e+09,647
mento,2,celo,66901,1.7366012521722603e+09,19
uniswap,3,bnb,2.915889e+06,1.6252673230990393e+09,970
pancakeswap,3,base,2.205385e+06,1.4755747599908578e+09,334
fluid,1,ethereum,30226,1.4429969928815842e+09,30
uniswap,3,base,3.16741e+06,8.654162811704607e+08,6873
curve,Factory V1 Stableswap Plain NG,ethereum,35472,8.014781717197431e+08,190
ekubo,1,ethereum,97987,6.749812187757428e+08,16
uniswap,2,base,2.234439e+06,6.371962000916588e+08,15221
uniswap,4,arbitrum,291954,5.482840937295816e+08,387
prjx,3,hyperevm,530566,5.0744742699119824e+08,95
blackhole,3,avalanche_c,323125,4.9607684236145085e+08,52
