blockchain,label_count,unique_addresses,unique_categories,unique_names,unique_contributors,earliest_label,latest_update
base,9.62730341e+08,2.36533399e+08,11,198240,8,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
bnb,3.83918478e+08,8.4167274e+07,7,73678,11,2022-08-24 00:00:00.000 UTC,2026-01-11 05:21:16.910 UTC
ethereum,1.12140045e+08,2.4269607e+07,19,1.200959e+06,21,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
polygon,8.9268296e+07,2.1508934e+07,11,37660,13,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
optimism,6.7983597e+07,2.9947672e+07,19,60931,13,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
arbitrum,4.8235128e+07,1.1240773e+07,12,128884,12,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
zksync,2.774939e+07,4.515212e+06,3,54813,4,2022-08-24 00:00:00.000 UTC,2026-01-11 05:10:12.998 UTC
avalanche_c,2.4690688e+07,4.860643e+06,8,23594,9,2022-01-13 00:00:00.000 UTC,2026-01-11 05:41:22.452 UTC
worldchain,1.189117e+07,2.432378e+06,2,30,3,2022-12-14 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
fantom,8.736395e+06,1.780563e+06,6,10789,9,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
ronin,8.635741e+06,2.408772e+06,2,31,2,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
scroll,8.418472e+06,1.433635e+06,3,2143,4,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
linea,6.31508e+06,1.601644e+06,3,3412,4,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
abstract,5.430855e+06,2.415155e+06,2,24,2,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
celo,4.999281e+06,1.007893e+06,2,264,3,2022-09-03 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
blast,4.010778e+06,974030,3,876,4,2022-08-24 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
unichain,2.971095e+06,1.464811e+06,2,152,3,2022-12-14 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
berachain,2.695952e+06,630620,1,91,1,2022-12-14 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
sei,2.589684e+06,601858,1,198,1,2022-12-14 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
xlayer,2.439631e+06,539605,1,21,1,2022-12-14 00:00:00.000 UTC,2026-01-11 04:07:48.613 UTC
