blockchain,owner_address_count,unique_addresses,unique_owner_keys,unique_custody_owners,unique_account_owners,unique_contract_names,unique_sources,unique_algorithms,earliest_label,newest_label,contributors
base,13098502,13098502,553,540,6,1038,0,0,2023-07-14 10:23:27.283 UTC,2026-01-10 09:01:12.913 UTC,6
worldchain,12076947,12076947,74,68,0,38,0,0,2024-01-05 00:00:00.000 UTC,2026-01-09 14:00:00.092 UTC,2
optimism,6427077,6427077,411,398,0,1178,0,0,2022-08-04 16:00:34.325 UTC,2026-01-10 08:24:00.194 UTC,5
polygon,3340912,3340912,551,536,0,1349,0,0,2022-10-27 09:24:44.349 UTC,2026-01-10 09:05:00.229 UTC,4
zora,3144274,3144274,49,46,0,81,0,0,2023-10-16 12:45:02.505 UTC,2025-10-08 12:26:47.780 UTC,2
bnb,3088664,3088664,506,492,0,1224,0,0,2022-07-06 13:56:18.074 UTC,2026-01-10 09:06:20.887 UTC,4
ethereum,1554423,1554423,7083,6958,3,5518,4,0,2020-11-09 23:18:34.000 UTC,2026-01-10 09:03:00.249 UTC,11
unichain,1033124,1033124,145,136,0,80,0,0,2024-01-05 00:00:00.000 UTC,2026-01-10 05:45:00.126 UTC,3
arbitrum,607620,607620,500,486,0,1989,0,0,2022-08-04 09:40:57.376 UTC,2026-01-10 09:05:18.169 UTC,5
goerli,322628,322628,43,43,0,197,0,0,2022-12-13 11:04:57.600 UTC,2024-03-19 20:12:39.000 UTC,2
gnosis,229369,229369,363,350,0,289,0,0,2022-08-08 15:52:47.480 UTC,2026-01-10 08:56:00.313 UTC,4
avalanche_c,110693,110693,346,333,0,909,0,0,2022-08-04 13:54:35.839 UTC,2026-01-10 05:44:00.103 UTC,4
fantom,63036,63036,336,323,0,466,0,0,2020-11-20 15:22:04.000 UTC,2026-01-04 10:59:00.302 UTC,3
opbnb,24017,24017,107,99,0,18,0,0,2024-01-05 00:00:00.000 UTC,2026-01-09 21:11:37.000 UTC,2
xlayer,23469,23469,2,2,0,0,0,0,2024-04-16 10:55:01.000 UTC,2026-01-10 07:24:56.000 UTC,1
sonic,15089,15089,50,50,0,217,0,0,2024-12-10 22:47:52.000 UTC,2026-01-09 21:50:00.253 UTC,3
blast,13476,13476,48,48,0,165,0,0,2024-02-28 14:05:17.000 UTC,2025-09-26 01:31:01.000 UTC,3
monad,11464,11464,12,12,0,27,0,0,2025-10-20 18:24:33.000 UTC,2026-01-09 18:07:00.170 UTC,3
zksync,9168,9168,258,246,0,221,0,0,2023-10-11 13:17:59.315 UTC,2025-12-24 07:35:51.048 UTC,3
linea,9018,9018,165,155,0,235,0,0,2024-01-05 00:00:00.000 UTC,2026-01-09 16:24:00.234 UTC,3
celo,6075,6075,274,261,0,190,0,0,2023-06-05 17:12:30.020 UTC,2026-01-08 04:48:00.144 UTC,3
katana,5575,5575,9,9,0,28,0,0,2024-01-05 00:00:00.000 UTC,2026-01-10 07:02:00.248 UTC,3
story,4839,4839,2,2,0,3,0,0,2025-02-09 21:27:28.000 UTC,2026-01-05 17:10:20.000 UTC,1
