name,owner_key,website,primary_category,category_tags
swaap,swaap,<nil>,Decentralized Exchange,<nil>
SideShift.ai,sideshiftai,https://www.sideshift.ai/,Decentralized Exchange,<nil>
mento,mento,<nil>,Decentralized Exchange,<nil>
biswap,biswap,https://biswap.org/,Decentralized Exchange,<nil>
<nil>,kaiaswap,https://kaiaswap.org/home,Decentralized Exchange,<nil>
zkSwap Finance,zkswap_finance,https://zkswap.finance/,Decentralized Exchange,<nil>
baseswap,baseswap,https://baseswap.fi/,Decentralized Exchange,<nil>
Strips Finance,strips,https://rabbitx.io/,Decentralized Exchange,<nil>
kuru,kuru,<nil>,Decentralized Exchange,<nil>
beraswap,beraswap,<nil>,Decentralized Exchange,<nil>
somnex,somnex,<nil>,Decentralized Exchange,<nil>
Hashflow,hashflow,https://www.hashflow.com/,Decentralized Exchange,[Staking Governance]
dackieswap,dackieswap,<nil>,Decentralized Exchange,<nil>
jelly_swap,jelly_swap,<nil>,Decentralized Exchange,<nil>
eulerswap,eulerswap,<nil>,Decentralized Exchange,<nil>
echodex,echodex,<nil>,Decentralized Exchange,<nil>
pancakeswap,pancakeswap,https://pancakeswap.finance/,Decentralized Exchange,[Bridge Gaming]
mezo_swap,mezo_swap,<nil>,Decentralized Exchange,<nil>
bancor,bancor,<nil>,Decentralized Exchange,<nil>
swapbased,swapbased,<nil>,Decentralized Exchange,<nil>
