name,owner_key,website,primary_category,dune_team
0x API,0x_api,https://0x.org/,Decentralized Exchange,https://dune.com/0xproject
1inch,1inch,https://1inch.io/,Decentralized Exchange,https://dune.com/1inch
Abracadabra,abracadabra,https://abracadabra.money/,Lending,https://dune.com/abracadabra_money
Airswap,airswap,https://www.airswap.io/,Decentralized Exchange,https://dune.com/airswap
Alchemix,alchemix,https://alchemix.fi/,Lending,https://dune.com/alchemix
Ampera,amp,https://ampera.xyz/,Token Issuance,https://dune.com/ampera
Ankr,ankr,https://www.ankr.com/,RPC / Node builder,https://dune.com/ankr
Apeswap,apeswap,https://apeswap.finance/,Decentralized Exchange,https://dune.com/apeswap
Aragon,aragon,https://aragon.org/,Governance,https://dune.com/aragonproject
Arcade,arcadexyz,https://www.arcade.xyz/,Lending,https://dune.com/arcade_xyz
Arch Finance,arch_protocol,https://www.arch.finance/,Asset Management,https://dune.com/arch_protocol
Aura Finance,aura_finance,https://aura.finance/,Yield Vaults,https://dune.com/aura_finance
Beefy,beefy,https://beefy.com/,Yield Vaults,https://dune.com/beefy_data_nerds
Bifrost,bifrost,https://bifrost.finance/,Staking,https://dune.com/bifrost_finance
Bitget,bitget,https://www.bitget.com/,Centralized Exchange,https://dune.com/bitgetwallet
Boost,boost,https://boost.xyz/,Blockchain,https://dune.com/boost_xyz
Cega,cega,https://www.cega.fi/,Derivatives,https://dune.com/cega
Chainflip,chainflip,https://chainflip.io/,Decentralized Exchange,https://dune.com/chainflip
Chronicle,chronicle,https://chroniclelabs.org/,Oracle,https://dune.com/chroniclelabs
Claystack,claystack,https://claystack.com/,Staking,https://dune.com/claystack
