name,owner_key,project_github_url,primary_category,website
Scroll,scroll,https://github.com/scroll-tech,Blockchain,https://scroll.io/
GMX,gmx,https://github.com/gmx-io,Decentralized Exchange,https://gmx.io/#/
Swapr,swapr,https://github.com/SwaprDAO/swapr-info,Decentralized Exchange,https://swapr.eth.limo/
Timeswap,timeswap,https://github.com/Timeswap-Labs,Lending,https://timeswap.io/
Airswap,airswap,https://github.com/airswap/airswap-web,Decentralized Exchange,https://www.airswap.io/
Uma ,umaproject,https://github.com/UMAprotocol,Oracle,https://uma.xyz/
Xei Finance,xei_finance,https://github.com/xei-finance,Decentralized Exchange,https://xei.finance/home
Apeswap,apeswap,https://github.com/ApeSwapFinance,Decentralized Exchange,https://apeswap.finance/
baseswap,baseswap,https://github.com/baseswapfi,Decentralized Exchange,https://baseswap.fi/
beethoven_x,beethoven_x,https://github.com/beethovenxfi,Decentralized Exchange,https://beets.fi/
Kyberswap,kyberswap,https://github.com/KyberNetwork,Decentralized Exchange,https://kyberswap.com/swap/ethereum/eth-to-usdt
LeetSwap,leetswap,https://github.com/LeetSwap,Decentralized Exchange,https://leetswap.finance/
Aerodrome Finance,aerodrome,https://github.com/aerodrome-finance,Decentralized Exchange,https://aerodrome.finance/
Camelot DEX,camelot,https://github.com/CamelotLabs,Decentralized Exchange,https://excalibur.exchange/
Zora,zora,https://github.com/ourzora,Creators and brands,https://zora.co/
Babyswap,babyswap,https://github.com/babyswap,Decentralized Exchange,https://home.babyswap.finance/
Elk Finance,elk_finance,https://github.com/elkfinance,Decentralized Exchange,https://elk.finance/
SpaceFi,spacefi,https://github.com/SpaceFinance/,Decentralized Exchange,https://spacefi.io/Home
Hashflow,hashflow,https://github.com/hashflownetwork,Decentralized Exchange,https://www.hashflow.com/
zkSwap Finance,zkswap_finance,https://github.com/ZkSwapFinance,Decentralized Exchange,https://zkswap.finance/
