primary_category,project_count,unique_owners,with_website,with_github,first_entry,last_updated
Social Engineering Scams,6206,6206,0,0,2024-05-01 20:31:31.000 UTC,2026-01-10 09:05:40.897 UTC
Centralized Exchange,323,323,97,7,2024-01-05 00:00:00.000 UTC,2025-06-16 00:00:00.000 UTC
Decentralized Exchange,277,277,99,57,2024-01-05 00:00:00.000 UTC,2025-10-29 11:49:52.000 UTC
Gaming,128,128,97,5,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Token Issuance,77,77,75,23,2024-03-12 20:01:02.000 UTC,2025-01-01 22:56:44.000 UTC
Hacks and exploits,75,75,1,0,2024-10-15 09:03:32.629 UTC,<nil>
Creators and brands,72,72,28,5,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Lending,63,63,63,49,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Staking,50,50,50,32,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Bridge,40,40,25,10,2024-03-12 20:01:02.000 UTC,2025-01-01 22:56:44.000 UTC
Decentralized Storage and Compute,36,36,36,14,2024-07-27 17:00:18.000 UTC,2025-01-01 22:56:44.000 UTC
Yield Vaults,29,29,29,15,2024-04-26 15:23:12.000 UTC,2025-01-01 22:56:44.000 UTC
Derivatives,29,29,29,12,2024-07-27 09:50:49.000 UTC,2025-01-01 22:56:44.000 UTC
Governance,27,27,26,9,2024-03-12 20:01:02.000 UTC,2025-01-01 22:56:44.000 UTC
Payment Processing,24,24,23,6,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Perpetuals,24,24,5,4,2024-01-05 00:00:00.000 UTC,2024-11-21 09:54:28.000 UTC
Asset Management,21,21,20,9,2024-07-26 10:29:18.000 UTC,2025-01-01 22:56:44.000 UTC
Real World Asset Services,20,20,19,4,2024-08-05 18:20:20.000 UTC,2025-01-01 22:56:44.000 UTC
Blockchain,20,20,20,11,2024-03-12 20:00:57.000 UTC,2025-01-01 22:56:44.000 UTC
Privacy Services,18,18,16,3,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Oracle,14,14,14,13,2024-03-26 20:18:03.000 UTC,2024-08-15 21:46:41.000 UTC
Investors/VC/Incubator,14,14,14,3,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Custody Services,13,13,13,5,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Social Network,10,10,5,1,2024-01-05 00:00:00.000 UTC,2025-01-01 22:56:44.000 UTC
Casino,7,7,7,0,2024-01-05 00:00:00.000 UTC,2024-05-30 19:45:59.000 UTC
Sports Betting & Prediction Markets,6,6,6,4,2024-01-05 00:00:00.000 UTC,2024-03-19 20:14:34.000 UTC
Referrals,6,6,0,0,2024-01-05 00:00:00.000 UTC,2024-05-25 19:44:49.000 UTC
RPC / Node builder,5,5,5,3,2024-06-19 20:52:55.000 UTC,2025-01-01 22:56:44.000 UTC
Insurance,5,5,5,2,2024-09-19 13:48:35.000 UTC,2025-01-01 22:56:44.000 UTC
Index,4,4,4,1,2024-09-25 12:34:05.000 UTC,<nil>
Account Abstraction,4,4,4,2,2024-01-05 00:00:00.000 UTC,2024-03-19 20:14:34.000 UTC
Minting,3,3,3,2,2024-09-09 09:10:59.000 UTC,<nil>
Messaging,3,3,3,0,2024-09-23 05:01:21.000 UTC,2025-01-01 22:56:44.000 UTC
Donation,3,3,3,2,2024-07-27 10:12:29.000 UTC,<nil>
Quests,2,2,2,0,2024-03-12 20:01:02.000 UTC,2025-01-01 22:56:44.000 UTC
Onchain Namespaces,2,2,2,2,2024-09-02 18:32:31.000 UTC,<nil>
Unnamed Category,1,1,1,0,2024-12-23 18:18:08.000 UTC,2025-01-01 22:56:44.000 UTC
Mining Pool,1,1,1,0,2024-09-12 02:42:40.000 UTC,<nil>
Lottery,1,1,0,0,2024-05-07 19:53:03.000 UTC,<nil>
MEV,1,1,1,0,2024-10-03 20:44:35.000 UTC,<nil>
